"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Gabon","GAB","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","","","","","33.8","","","","","29.3","28.5","27.7","26.8","26.1","25.6","24.7","","","",
"Georgia","GEO","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.3","","","","","59.9","","","","","57.7","57.2","57","56.6","56","55.7","55.5","","","",
"Ghana","GHA","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8","","","","","9.6","","","","","8.7","8.5","8.4","8.2","8.1","7.8","7.7","","","",
"Gibraltar","GIB","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8","","","","","35.4","","","","","33.4","33","32.7","32.2","32","31.7","31.2","","","",
"Guinea-Bissau","GNB","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1","","","","","57.8","","","","","55","54.6","53.7","53.3","53","52.2","52","","","",
"Grenada","GRD","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8753728481683","","","","","36.5497433778292","","","","","32.8378028966557","32.1914376653378","31.558620755648","30.9263420857367","30.2826565435582","29.7241090524073","29.1518722769273","","","",
"Hong Kong SAR, China","HKG","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.5","","","","","40.4","","","","","40.1","39.9","39.7","40","40","40","39.9","","","",
"Haiti","HTI","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","","","","19.9","","","","","21.3","21.6","21.8","22.2","22.5","22.8","23.1","","","",
"Hungary","HUN","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.2","","","","","42.7","","","","","38.9","38.2","37.5","36.8","36.2","35.5","34.8","","","",
"IBRD only","IBD","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9925611637944","","","","","43.4995043137924","","","","","40.5599723004224","39.862642465009","39.4812238959051","38.977830299024","38.4582364467524","38.0142452399699","37.5507304252021","","","",
"IDA & IBRD total","IBT","Smoking prevalence, males (% of adults)","SH.PRV.SMOK.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.0617256536803","","","","","41.6648520976301","","","","","38.7269907513564","38.0508187430186","37.6473917591101","37.1421106706939","36.608181271905","36.1579347706119","35.6921011715705","","","",
